time,kW
1530645900,0.0
1530646200,0.0
1530646500,0.0
1530646800,0.0
1530647100,0.0
1530647400,0.0
1530647700,0.0
1530648000,0.0
1530648300,0.0
1530648600,0.0
1530648900,0.0
1530649200,0.0
1530649500,0.0
1530649800,0.0
1530650100,0.0
1530650400,0.0
1530650700,0.0
1530651000,0.0
1530651300,0.0
1530651600,0.0
1530651900,0.0
1530652200,0.0
1530652500,0.0
1530652800,0.0
1530653100,0.0
1530653400,-0.14071127052469998
1530653700,-0.317021856467687
1530654000,-1.15643587767297
1530654300,-2.77206351578136
1530654600,-5.313162026825398
1530654900,-9.044181210138252
1530655200,-10.630346775668984
1530655500,-12.602021888748112
1530655800,-12.498603771098448
1530656100,-8.85561827908208
1530656400,-13.11286530603341
1530656700,-14.17555718023388
1530657000,-18.841503185548582
1530657300,-25.570968360161693
1530657600,-26.151800215389855
1530657900,-17.92685786382404
1530658200,-27.67086576517184
1530658500,-41.93258256697304
1530658800,-38.81841295740774
1530659100,-52.63023101959946
1530659400,-63.92946739539446
1530659700,-80.28565877472568
1530660000,-84.73672410858292
1530660300,-93.08648007194499
1530660600,-101.88375331009162
1530660900,-101.54249537335329
1530661200,-99.73957556754883
1530661500,-90.68519399171669
1530661800,-115.27797051878656
1530662100,-119.11752862676758
1530662400,-125.53105929761871
1530662700,-134.10796574820006
1530663000,-140.62331969763724
1530663300,-146.37403709815538
1530663600,-145.83445217000116
1530663900,-150.68190168165933
1530664200,-159.90012732615844
1530664500,-157.92739617064493
1530664800,-167.38386966869294
1530665100,-181.55392085900985
1530665400,-190.3460991577775
1530665700,-173.66914640372212
1530666000,-173.18485587818913
1530666300,-177.6893438355569
1530666600,-187.4051781161246
1530666900,-196.8278794695555
1530667200,-200.34399045027752
1530667500,-200.5756270210247
1530667800,-190.25758082809273
1530668100,-187.55631230136314
1530668400,-188.00063972410763
1530668700,-193.45727730374023
1530669000,-195.37560381725078
1530669300,-193.880632064022
1530669600,-192.79225797051075
1530669900,-189.11385843832977
1530670200,-193.94741302408306
1530670500,-205.59004815454344
1530670800,-202.13383392066012
1530671100,-210.55560807489493
1530671400,-216.1999901494902
1530671700,-220.10934506341204
1530672000,-223.54602719713648
1530672300,-224.84710118885116
1530672600,-224.0604679122121
1530672900,-218.42856372332804
1530673200,-213.22573349196924
1530673500,-214.86411351159379
1530673800,-215.1492337935993
1530674100,-209.83686528287234
1530674400,-207.94659296469936
1530674700,-203.30990259440094
1530675000,-191.52415253679513
1530675300,-190.76240490776436
1530675600,-190.00565878469774
1530675900,-183.34515729647288
1530676200,-180.24343546790251
1530676500,-180.0560205773389
1530676800,-174.08367778852576
1530677100,-165.99301480495538
1530677400,-165.34747280909858
1530677700,-162.10113126336802
1530678000,-154.6506515764908
1530678300,-150.61159077949537
1530678600,-143.84474226115887
1530678900,-137.7518622813838
1530679200,-129.46300865927
1530679500,-119.9198083949615
1530679800,-109.42594085130933
1530680100,-103.57378203548957
1530680400,-102.53111998328181
1530680700,-94.47481530608643
1530681000,-86.74978389028644
1530681300,-77.3168743049544
1530681600,-67.68578744433685
1530681900,-59.32983195503463
1530682200,-51.20468283654545
1530682500,-45.2334344724859
1530682800,-40.235405267190195
1530683100,-34.36611845472261
1530683400,-29.591027479258038
1530683700,-25.19740330741664
1530684000,-19.938544648776094
1530684300,-16.456232411137584
1530684600,-12.607842040433423
1530684900,-8.573834107112718
1530685200,-5.936659355261183
1530685500,-4.56634808878479
1530685800,-2.502857900109661
1530686100,-1.3504256421058882
1530686400,-0.5273101984955799
1530686700,-0.16980000332000006
1530687000,0.0
1530687300,0.0
1530687600,0.0
1530687900,0.0
1530688200,0.0
1530688500,0.0
1530688800,0.0
1530689100,0.0
1530689400,0.0
1530689700,0.0
1530690000,0.0
1530690300,0.0
1530690600,0.0
1530690900,0.0
1530691200,0.0
1530691500,0.0
1530691800,0.0
1530692100,0.0
1530692400,0.0
1530692700,0.0
1530693000,0.0
1530693300,0.0
1530693600,0.0
1530693900,0.0
1530694200,0.0
1530694500,0.0
1530694800,0.0
1530695100,0.0
1530695400,0.0
1530695700,0.0
1530696000,0.0
1530696300,0.0
1530696600,0.0
1530696900,0.0
1530697200,0.0
1530697500,0.0
1530697800,0.0
1530698100,0.0
1530698400,0.0
1530698700,0.0
1530699000,0.0
1530699300,0.0
1530699600,0.0
1530699900,0.0
1530700200,0.0
1530700500,0.0
1530700800,0.0
1530701100,0.0
1530701400,0.0
1530701700,0.0
1530702000,0.0
1530702300,0.0
1530702600,0.0
1530702900,0.0
1530703200,0.0
1530703500,0.0
1530703800,0.0
